molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL109420,5.1739254,0.31218344,0.75877661,CC(=O)N(C)Cc1cc(C(=O)N(C)Cc2cc3ccccc3n2C)ccc1N
CHEMBL109484,4.0282602,0.14134225,0.96816069,[H]/N=c1/ccc(CCC(=O)N(C)Cc2cc3ccccc3n2C)c[nH]1
CHEMBL109511,4.6736641,0.23248278,0.88677329,CN1Cc2cc(C(=O)N(C)Cc3cc4ccccc4n3C)ccc2NCC1=O
CHEMBL110480,4.782516,0.23348089,0.84498078,COC(=O)C[C@H]1Nc2ccc(C(=O)N(C)Cc3cc4ccccc4n3C)cc2CN(C)C1=O
CHEMBL111031,5.6575775,0.12763189,0.95755553,[H]/N=c1\ncc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)c[nH]1
CHEMBL111251,4.8477116,0.14798382,0.95026106,CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cccnc1
CHEMBL1652621,7.5376019,0.40819991,0.69007051,Cc1c(CN(C)C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)oc2ccccc12
CHEMBL1682260,4.8153086,0.17475636,0.87438059,O=C1CC(=O)O[C@@H](c2c(-c3ccc(O)c(O)c3)oc3cc(/C=C/c4ccc(O)c(O)c4)oc(=O)c23)C1
CHEMBL2018876,4.076756,0.11209704,0.92399573,CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O
CHEMBL2178282,7.318759,0.10071831,0.95437223,CCc1ccc(Oc2ccc(C(=O)CCCO)cc2)c(O)c1
CHEMBL2178283,4.6777806,0.24658445,0.91986406,CCc1cc(OC)c(Oc2ccc(C(N)=O)cc2F)cc1F
CHEMBL2178284,7.9208188,0.20262046,0.93361664,CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F
CHEMBL2178285,7.0861859,0.19965795,0.91898203,CCc1cc(O)c(Oc2ccc(C(=O)NC)cc2F)cc1F
CHEMBL2178286,7.5528421,0.10227261,0.95614362,CCc1ccc(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)c(O)c1
CHEMBL2178287,7.7958798,0.20606142,0.87641364,CCc1cc(O)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F
CHEMBL2178288,6.7447276,0.20179579,0.93739825,CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F
CHEMBL2178289,7.251812,0.21353285,0.92654681,[H]/N=c1\[nH]cccc1Oc1cc(F)c(CC)cc1O
CHEMBL2178291,7.8860564,0.23693484,0.93692756,CCc1cc(O)c(Oc2cccnc2F)cc1F
CHEMBL2178303,7.4317985,0.21734792,0.8921659,CCc1cc(O)c(Oc2ccccc2)cc1F
CHEMBL2178304,8.0969105,0.24183352,0.93373811,CCc1cc(O)c(Oc2ccccc2F)cc1F
CHEMBL2178305,7.5086384,0.21308513,0.93888342,CCc1cc(O)c(Oc2ccc(C#N)cc2F)cc1F
CHEMBL291805,4.179142,0.070189498,0.9843871,COc1ccc(-c2c[nH]c(Cc3ccc(C)cc3)n2)cc1
