"Structure of NEW_SMILES [idcode]","NEW_SMILES","pIC50","amw","lipinskiHBA","lipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeavyAtoms","NumAtoms","NumHeteroatoms","NumAmideBonds","FractionCSP3","NumRings","NumAromaticRings","NumAliphaticRings","NumSaturatedRings","NumHeterocycles","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumSpiroAtoms","NumBridgeheadAtoms","NumAtomStereoCenters","NumUnspecifiedAtomStereoCenters","labuteASA","tpsa","CrippenClogP","CrippenMR","chi0v","chi1v","chi2v","chi3v","chi4v","chi0n","chi1n","chi2n","chi3n","chi4n","hallKierAlpha","kappa1","kappa2","kappa3","Phi","Shape Index","Molecular Flexibility","Molecular Complexity"
"fcoH`@DZSdBtfYgV[eWyVU[tQsZhHIJj`hF@@@","CC(=O)N(C)Cc1cc(C(=O)N(C)Cc2cc3ccccc3n2C)ccc1N","5.17392519729917","378.476","6","2","5","1","4","28","54","6","2","0.272727272727273","3","3","0","0","1","1","0","0","0","0","0","0","164.691432917586","71.57","3.011","111.7189","16.7685033525073","9.16528812587052","5.1319053489194","5.1319053489194","3.27552606655004","16.7685033525073","9.16528812587052","5.1319053489194","5.1319053489194","3.27552606655004","-3.28","19.4807165907706","7.76091378826001","3.85635641439529","5.39957721408917","0.53571","0.60672","0.78413"
"fakI@@DRCtBSLnsLj{k[tRuZuUTmUHPI@@@","CN(Cc1cc2ccccc2n1C)C(=O)CCc1ccc(=N)[nH]c1","4.02826040911222","322.412","5","2","5","2","3","24","46","5","1","0.263157894736842","3","3","0","0","2","2","0","0","0","0","0","0","140.605301201744","64.88","2.57707","94.3614","14.0427979785404","8.03899407737028","4.38064857315852","4.38064857315852","2.88363613565411","14.0427979785404","8.03899407737028","4.38064857315852","4.38064857315852","2.88363613565411","-2.82","16.0524533437159","6.74319322045968","3.3999386820919","4.51019977329543","0.625","0.5541","0.75761"
"fcH`@DL}dCdfY]U^yyeuxKQj}Wmjj`BZjZ`@@@@","CN1Cc2cc(C(=O)N(C)Cc3cc4ccccc4n3C)ccc2NCC1=O","4.67366413907125","376.46","6","1","3","1","4","28","52","6","2","0.272727272727273","4","3","1","0","2","1","0","1","0","0","0","0","163.895573250652","57.58","2.8344","110.1222","16.3982598645043","9.33371977246226","5.41243645692605","5.41243645692605","3.71248093322571","16.3982598645043","9.33371977246226","5.41243645692605","5.41243645692605","3.71248093322571","-3.28","18.1005338480663","7.0346539639233","3.21717973210697","4.54753543512241","0.53571","0.5049","0.80083"
"ehRRB@@DFBa`KGLlbbbbrRTRrLtVbbVRDd|BVN~AZjj`XJZjZ`@@`pH@@","COC(=O)CC1Nc2ccc(C(=O)N(C)Cc3cc4ccccc4n3C)cc2CN(C)C1=O","4.78251605578609","448.523","8","1","5","1","6","33","61","8","2","0.32","4","3","1","0","2","1","0","1","0","0","1","1","192.265466923392","83.88","2.7661","125.6762","19.2921067146216","10.7822615224502","6.1591316193308","6.1591316193308","4.26859632794594","19.2921067146216","10.7822615224502","6.1591316193308","6.1591316193308","4.26859632794594","-3.81","22.3862986542798","8.97428047379896","4.41348150052449","6.08790675435562","0.54545","0.50103","0.83887"
"faki@@DRCGhDfY]fYUwVwhejujfiZjP`R@@@","CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1cnc(=N)[nH]c1","5.65757731917779","321.384","6","2","4","2","4","24","43","6","1","0.166666666666667","3","3","0","0","2","2","0","0","0","0","0","0","139.135346150506","77.77","2.05267","92.8694","13.6531482808569","7.60236811827569","3.96306946760612","3.96306946760612","2.56991293539388","13.6531482808569","7.60236811827569","3.96306946760612","3.96306946760612","2.56991293539388","-3.15","15.7345625308237","6.53600645431821","3.27104216902739","4.28505009405572","0.625","0.42533","0.75761"
"fnsq@@DRBAIfWYfU]vwhejujfiBh@@@ABd@","CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cccnc1","4.84771165561694","305.381","4","0","4","0","3","23","42","4","1","0.157894736842105","3","3","0","0","2","2","0","0","0","0","0","0","135.230347170295","38.13","3.2451","92.664","13.3078488192362","7.51495174234472","3.92920967090446","3.92920967090446","2.58800971327118","13.3078488192362","7.51495174234472","3.92920967090446","3.92920967090446","2.58800971327118","-2.88","15.032579420488","6.48223987417477","3.31428000423928","4.23672981439939","0.6087","0.46083","0.73864"
"fcq`@DL|AvTfUm]VyyY]irRjmWmijVZZjZ`B`@@","Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)oc2ccccc12","7.53760200210104","375.428","6","0","4","0","4","28","49","6","2","0.272727272727273","4","3","1","0","3","2","0","1","0","0","0","0","161.751384302326","75.77","2.05782","104.853","15.936264666965","9.28707668359743","5.06422031740081","5.06422031740081","3.37385366832229","15.936264666965","9.28707668359743","5.06422031740081","5.06422031740081","3.37385366832229","-3.28","18.1005338480663","7.38440997217086","3.57961064943059","4.77363438033133","0.60714","0.51384","0.83603"
"ebQPE@@@DIGImg`T\\bbTTRfrbTRTRTRRcauGDbaRpwutKTsSMTE@CHQEUAAhP@@","O=C1CC(=O)OC(c2c(-c3ccc(O)c(O)c3)oc3cc(C=Cc4ccc(O)c(O)c4)oc(=O)c23)C1","4.8153085691824","490.42","10","4","4","4","10","36","54","10","0","0.115384615384615","5","4","1","1","3","2","1","1","0","0","1","1","201.460609304931","167.64","3.993","125.2892","18.4260603790524","10.7348078252271","5.68778307818943","5.68778307818943","4.02500403466162","18.4260603790524","10.7348078252271","5.68778307818943","5.68778307818943","4.02500403466162","-4.99","22.7850263706432","8.65791062816547","4.15521153623178","5.47974227715062","0.47222","0.26596","0.9463"
"fns@P@@F}GIEEDeLdcEleLLEipZBP@`bij@@@","CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O","4.07675598136972","310.349","4","3","3","3","4","23","41","4","0","0.157894736842105","3","3","0","0","1","1","0","0","0","0","0","0","133.48229991776","73.83","4.7253","89.7794","12.9984477424777","7.34963017864721","3.705429771296","3.705429771296","2.46138610923351","12.9984477424777","7.34963017864721","3.705429771296","3.705429771296","2.46138610923351","-2.88","15.032579420488","5.72299831968074","3.01396291490116","3.7404968158226","0.6087","0.34301","0.75903"
"ff}@P@@ZLEIfUW]f_QJSehHHjB@h@@@","CCc1ccc(Oc2ccc(C(=O)CCCO)cc2)c(O)c1","7.31875876262441","300.354","4","2","7","2","4","22","42","4","0","0.277777777777778","2","2","0","0","0","0","0","0","0","0","0","0","129.541684845883","66.76","3.7021","84.6511","12.5808027810012","7.37582163859421","3.39765052753613","3.39765052753613","2.08896363384449","12.5808027810012","7.37582163859421","3.39765052753613","3.39765052753613","2.08896363384449","-2.33","16.0476721250775","7.61375852322189","4.0850752960315","5.55377729182631","0.72727","0.5712","0.62421"
