NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
CC(=O)N(C)Cc1cc(C(=O)N(C)Cc2cc3ccccc3n2C)ccc1N,5.17392519729917,0.53571,0.60672,0.78413
CN(Cc1cc2ccccc2n1C)C(=O)CCc1ccc(=N)[nH]c1,4.02826040911222,0.625,0.5541,0.75761
CN1Cc2cc(C(=O)N(C)Cc3cc4ccccc4n3C)ccc2NCC1=O,4.67366413907125,0.53571,0.5049,0.80083
COC(=O)CC1Nc2ccc(C(=O)N(C)Cc3cc4ccccc4n3C)cc2CN(C)C1=O,4.78251605578609,0.54545,0.50103,0.83887
CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1cnc(=N)[nH]c1,5.65757731917779,0.625,0.42533,0.75761
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cccnc1,4.84771165561694,0.6087,0.46083,0.73864
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)oc2ccccc12,7.53760200210104,0.60714,0.51384,0.83603
O=C1CC(=O)OC(c2c(-c3ccc(O)c(O)c3)oc3cc(C=Cc4ccc(O)c(O)c4)oc(=O)c23)C1,4.8153085691824,0.47222,0.26596,0.9463
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,4.07675598136972,0.6087,0.34301,0.75903
CCc1ccc(Oc2ccc(C(=O)CCCO)cc2)c(O)c1,7.31875876262441,0.72727,0.5712,0.62421
CCc1cc(OC)c(Oc2ccc(C(N)=O)cc2F)cc1F,4.67778070526608,0.59091,0.5157,0.73945
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,7.92081875395237,0.61905,0.52496,0.72413
CCc1cc(O)c(Oc2ccc(C(=O)NC)cc2F)cc1F,7.08618614761628,0.63636,0.526,0.73199
CCc1ccc(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)c(O)c1,7.55284196865778,0.61538,0.51804,0.73783
CCc1cc(O)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F,7.79588001734407,0.59259,0.51562,0.7679
CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F,6.74472749489669,0.61905,0.51029,0.72413
CCc1cc(O)c(Oc2ccc[nH]c2=N)cc1F,7.2518119729938,0.61111,0.3648,0.72323
CCc1cc(O)c(Oc2cccnc2F)cc1F,7.88605664769316,0.61111,0.4702,0.70997
CCc1cc(O)c(Oc2ccccc2)cc1F,7.43179827593301,0.64706,0.49333,0.65353
CCc1cc(O)c(Oc2ccccc2F)cc1F,8.09691001300806,0.61111,0.4702,0.68511
CCc1cc(O)c(Oc2ccc(C#N)cc2F)cc1F,7.50863830616573,0.65,0.48096,0.70798
COc1ccc(-c2c[nH]c(Cc3ccc(C)cc3)n2)cc1,4.1791420105603,0.71429,0.5044,0.68153
Cc1ccc(Cn2cnc(-c3cccc(Cl)c3Cl)c2)cc1,5,0.61905,0.5065,0.72855
