NEW_SMILES,pIC50,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity
CC(=O)N(C)Cc1cc(C(=O)N(C)Cc2cc3ccccc3n2C)ccc1N,5.173925197299174,378.4760000000001,6,2,5,1,4,28,54,6,2,0.2727272727272727,3,3,0,0,1,1,0,0,0,0,0,0,164.6914329175857,71.57000000000001,3.011,111.7189,16.76850335250733,9.165288125870525,5.131905348919404,5.131905348919404,3.275526066550042,-3.28,19.48071659077055,7.760913788260013,3.856356414395287,5.39957721408917,298,0.53571,0.608,0.81905
CN(Cc1cc2ccccc2n1C)C(=O)CCc1ccc(=N)[nH]c1,4.028260409112222,322.4119999999999,5,2,5,2,3,24,46,5,1,0.2631578947368421,3,3,0,0,2,2,0,0,0,0,0,0,140.6053012017439,64.88,2.57707,94.36140000000003,14.04279797854043,8.038994077370281,4.380648573158519,4.380648573158519,2.883636135654107,-2.82,16.05245334371587,6.743193220459684,3.399938682091897,4.510199773295426,260.39,0.625,0.55221,0.76987
CN1Cc2cc(C(=O)N(C)Cc3cc4ccccc4n3C)ccc2NCC1=O,4.673664139071248,376.4600000000001,6,1,3,1,4,28,52,6,2,0.2727272727272727,4,3,1,0,2,1,0,1,0,0,0,0,163.8955732506518,57.58000000000001,2.8344,110.1222000000001,16.39825986450425,9.33371977246226,5.412436456926047,5.412436456926047,3.712480933225715,-3.28,18.10053384806632,7.034653963923301,3.217179732106967,4.547535435122414,288.94,0.53571,0.50473,0.85628
COC(=O)CC1Nc2ccc(C(=O)N(C)Cc3cc4ccccc4n3C)cc2CN(C)C1=O,4.782516055786093,448.5230000000002,8,1,5,1,6,33,61,8,2,0.32,4,3,1,0,2,1,0,1,0,0,1,1,192.2654669233923,83.88,2.766100000000002,125.6762000000001,19.2921067146216,10.7822615224502,6.159131619330805,6.159131619330805,4.268596327945938,-3.81,22.38629865427983,8.974280473798963,4.413481500524491,6.087906754355619,341.45,0.54545,0.50356,0.88637
CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1cnc(=N)[nH]c1,5.657577319177793,321.384,6,2,4,2,4,24,43,6,1,0.1666666666666667,3,3,0,0,2,2,0,0,0,0,0,0,139.1353461505061,77.77000000000001,2.05267,92.86940000000003,13.65314828085692,7.602368118275687,3.963069467606116,3.963069467606116,2.569912935393876,-3.15,15.73456253082371,6.536006454318208,3.271042169027393,4.285050094055716,257.63,0.625,0.43217,0.76987
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cccnc1,4.847711655616943,305.381,4,0,4,0,3,23,42,4,1,0.1578947368421053,3,3,0,0,2,2,0,0,0,0,0,0,135.2303471702949,38.13,3.245100000000002,92.66400000000003,13.30784881923617,7.514951742344723,3.929209670904462,3.929209670904462,2.588009713271182,-2.88,15.03257942048795,6.482239874174768,3.314280004239277,4.236729814399393,248.41,0.6087,0.46774,0.75903
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)oc2ccccc12,7.537602002101043,375.4280000000001,6,0,4,0,4,28,49,6,2,0.2727272727272727,4,3,1,0,3,2,0,1,0,0,0,0,161.7513843023265,75.77000000000001,2.05782,104.853,15.93626466696504,9.287076683597434,5.064220317400815,5.064220317400815,3.373853668322295,-3.28,18.10053384806632,7.384409972170864,3.579610649430594,4.773634380331328,293.06,0.60714,0.51046,0.84323
O=C1CC(=O)OC(c2c(-c3ccc(O)c(O)c3)oc3cc(C=Cc4ccc(O)c(O)c4)oc(=O)c23)C1,4.815308569182401,490.4200000000003,10,4,4,4,10,36,54,10,0,0.1153846153846154,5,4,1,1,3,2,1,1,0,0,1,1,201.4606093049311,167.64,3.993000000000002,125.2892,18.42606037905237,10.73480782522714,5.687783078189428,5.687783078189428,4.025004034661624,-4.99,22.7850263706432,8.657910628165475,4.155211536231779,5.479742277150622,345.35,0.47222,0.26662,0.96643
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,4.076755981369724,310.349,4,3,3,3,4,23,41,4,0,0.1578947368421053,3,3,0,0,1,1,0,0,0,0,0,0,133.4822999177599,73.83,4.725300000000004,89.77940000000001,12.99844774247767,7.349630178647214,3.705429771296002,3.705429771296002,2.461386109233507,-2.88,15.03257942048795,5.72299831968074,3.013962914901161,3.740496815822601,239.35,0.6087,0.34681,0.80083
CCc1ccc(Oc2ccc(C(=O)CCCO)cc2)c(O)c1,7.318758762624412,300.354,4,2,7,2,4,22,42,4,0,0.2777777777777778,2,2,0,0,0,0,0,0,0,0,0,0,129.5416848458834,66.76,3.702100000000002,84.65110000000003,12.58080278100122,7.375821638594211,3.397650527536131,3.397650527536131,2.08896363384449,-2.33,16.04767212507745,7.613758523221892,4.085075296031503,5.553777291826308,240.77,0.72727,0.57013,0.6909
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,7.920818753952375,293.2689999999999,4,3,4,2,3,21,34,6,1,0.1333333333333333,2,2,0,0,0,0,0,0,0,0,0,0,119.3235862533627,72.55000000000001,3.124000000000001,72.4347,11.19084751877044,6.206013422921473,2.94519717210672,2.94519717210672,1.79486863681877,-2.63,14.7723487400882,5.783337078926701,3.102136840309201,4.068260581494679,214.36,0.61905,0.51741,0.77749
CCc1cc(O)c(Oc2ccc(C(=O)NC)cc2F)cc1F,7.086186147616283,307.296,4,2,4,2,3,22,37,6,1,0.1875,2,2,0,0,0,0,0,0,0,0,0,0,125.8984998543546,58.56,3.384700000000001,77.30700000000002,12.11349724958082,6.667338288326659,3.149930145353425,3.149930145353425,1.927178073508059,-2.63,15.75309439338849,6.425410818193296,3.16164845483149,4.600913778877207,229.56,0.63636,0.51832,0.78589
CCc1ccc(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)c(O)c1,7.552841968657781,358.3690000000001,6,2,4,2,4,26,45,7,2,0.2631578947368421,3,2,1,1,1,0,1,1,0,0,0,0,149.7433154113361,78.87,2.458,92.87200000000003,14.28966527528468,8.328982641357513,4.15591317607451,4.15591317607451,2.698787659025354,-3.09,17.72402644058957,7.428816534513672,3.766740373000708,5.064174641538821,266.78,0.61538,0.51156,0.7971
CCc1cc(O)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F,7.795880017344075,376.3590000000001,6,2,4,2,4,27,45,8,2,0.2631578947368421,3,2,1,1,1,0,1,1,0,0,0,0,153.9088508142624,78.87,2.597100000000001,92.83000000000004,14.59027947910428,8.434631544528793,4.233199746922932,4.233199746922932,2.769141815408801,-3.16,18.62573550978155,7.608501177764168,3.99333239721845,5.248664094922105,273.13,0.59259,0.50872,0.82089
CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F,6.744727494896694,294.253,4,2,4,2,3,21,33,6,0,0.1333333333333333,2,2,0,0,0,0,0,0,0,0,0,0,118.777929308546,66.76,3.723300000000002,70.87610000000002,11.06071084508077,6.140945086076639,2.907629950313634,2.907629950313634,1.774632108563026,-2.63,14.7723487400882,5.783337078926701,3.102136840309201,4.068260581494679,212.19,0.61905,0.5041,0.77749
CCc1cc(O)c(Oc2ccc[nH]c2=N)cc1F,7.251811972993799,248.257,4,3,3,3,3,18,31,5,0,0.1538461538461539,2,2,0,0,1,1,0,0,0,0,0,0,103.1966949191946,69.1,2.693569999999999,64.16420000000001,9.827284486107725,5.530214970733822,2.546693712313206,2.546693712313206,1.564460288233364,-2.3,12.16469934382732,4.912038669016717,2.344505511994822,3.319637420769004,191.46,0.61111,0.32353,0.75903
CCc1cc(O)c(Oc2cccnc2F)cc1F,7.886056647693163,251.232,3,1,3,1,3,18,29,5,0,0.1538461538461539,2,2,0,0,1,1,0,0,0,0,0,0,102.6768793228561,42.35,3.420100000000001,61.71180000000002,9.65246255461691,5.412327760140762,2.453668327765829,2.453668327765829,1.505408640352813,-2.17,12.29121979644052,4.995022243690402,2.395126431250276,3.410828682517123,186.85,0.61111,0.4639,0.72942
CCc1cc(O)c(Oc2ccccc2)cc1F,7.431798275933005,232.254,2,1,3,1,2,17,30,3,0,0.1428571428571428,2,2,0,0,0,0,0,0,0,0,0,0,99.29169593898335,29.46,3.886000000000002,63.95880000000003,9.481985024486978,5.446881637400488,2.479898060922731,2.479898060922731,1.555032950088842,-2.03,11.45525550215671,4.86873620439508,2.558584556541952,3.280742187879196,181.74,0.64706,0.4944,0.70285
